Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,noise_ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,f1_macro,f1_micro,f1_weighted,AUC
Fri Jan 15 15:54:59 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.753,1,0.7745237946510315,0.6113902847571189,0.6094276094276094,1.0,1.0,0.01276595744680851,0.7573221757322176,0.025210084033613446,0.6113902847571189,0.4691373490166867,0.5063829787234042,0.39126612988291554
Fri Jan 15 16:14:27 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.753,1,0.8211904764175415,0.6750418760469011,0.6721311475409836,0.6880733944954128,0.9060773480662984,0.3191489361702128,0.771764705882353,0.436046511627907,0.6750418760469011,0.6396143279094975,0.6126131421182555,0.60390560875513
Fri Jan 15 16:34:48 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.753,1,0.8319047689437866,0.6716917922948074,0.6985645933014354,0.6089385474860335,0.8066298342541437,0.46382978723404256,0.7487179487179487,0.5265700483091788,0.6716917922948074,0.6612727952907109,0.6352298107440931,0.6376439985135638
Fri Jan 15 16:55:24 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.754,1,0.8216666579246521,0.6649916247906198,0.7154255319148937,0.579185520361991,0.7430939226519337,0.5446808510638298,0.7289972899728997,0.5614035087719299,0.6649916247906198,0.6630265385788832,0.6438873868578818,0.6452003993724148
Fri Jan 15 17:13:24 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.754,1,0.8307142853736877,0.6582914572864321,0.6688034188034188,0.6201550387596899,0.8646408839779005,0.3404255319148936,0.7542168674698794,0.43956043956043955,0.6582914572864321,0.6303571345407029,0.6025332079463971,0.5968886535151594
Fri Jan 15 17:39:52 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.755,1,0.8297619223594666,0.6716917922948074,0.6693877551020408,0.6822429906542056,0.9060773480662984,0.31063829787234043,0.7699530516431925,0.4269005847953216,0.6716917922948074,0.6349156484451194,0.6083578229693194,0.598426818219257
Fri Jan 15 17:56:18 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.765,1,0.8238095045089722,0.6633165829145728,0.6694736842105263,0.639344262295082,0.8784530386740331,0.33191489361702126,0.7598566308243728,0.4369747899159664,0.6633165829145728,0.6327590887582497,0.6051839661455272,0.5984157103701696
Fri Jan 15 18:21:42 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.4,1,0.817380964756012,0.6649916247906198,0.6808035714285714,0.6174496644295302,0.8425414364640884,0.39148936170212767,0.7530864197530863,0.47916666666666663,0.6649916247906198,0.645262061335484,0.617015399083108,0.6161265432098765
Fri Jan 15 18:44:54 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,4,0.4,1,0.8733928799629211,0.6867671691792295,0.6940133037694013,0.6643835616438356,0.8646408839779005,0.4127659574468085,0.7699876998769987,0.5091863517060367,0.6867671691792295,0.6673272026907741,0.6387034207123545,0.6395870257915177
Fri Jan 15 19:02:10 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.4,1,0.819523811340332,0.6030150753768844,0.7828054298642534,0.4973404255319149,0.47790055248618785,0.7957446808510639,0.5934819897084048,0.6121112929623568,0.6030150753768844,0.6008151325303123,0.6368226166686259,0.6027966413353808
Fri Jan 15 19:21:30 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.4,1,0.842380940914154,0.6750418760469011,0.6818181818181818,0.6518518518518519,0.8701657458563536,0.37446808510638296,0.7645631067961165,0.4756756756756756,0.6750418760469011,0.6508469488173835,0.6223169154813684,0.620119391235896
Fri Jan 15 19:49:04 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,6,3,0.4,1,0.8185508847236633,0.6599664991624791,0.6972704714640199,0.5824742268041238,0.7762430939226519,0.4808510638297872,0.7346405228758169,0.5268065268065267,0.6599664991624791,0.6528298209054934,0.6285470788762195,0.6307235248411718
Fri Jan 15 20:10:45 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,6,3,0.75,1,0.8190274238586426,0.6482412060301508,0.665938864628821,0.5899280575539568,0.8425414364640884,0.34893617021276596,0.7439024390243903,0.4385026737967915,0.6482412060301508,0.6236864510369771,0.5957388033384272,0.5912025564105909
Fri Jan 15 20:31:14 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,6,3,0.76,1,0.8285648822784424,0.6063651591289783,0.7081967213114754,0.5,0.5966850828729282,0.6212765957446809,0.6476761619190405,0.5540796963946869,0.6063651591289783,0.6108333321062716,0.6089808393088045,0.6008779291568638
Fri Jan 15 20:51:55 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,6,3,0.77,1,0.8104437589645386,0.6750418760469011,0.6787234042553192,0.6614173228346457,0.8812154696132597,0.3574468085106383,0.7668269230769231,0.46408839779005534,0.6750418760469011,0.6476584918500992,0.6193311390619489,0.6154576604334893
Fri Jan 15 21:20:28 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.8,1,0.8381088972091675,0.6767169179229481,0.7055961070559611,0.6129032258064516,0.8011049723756906,0.4851063829787234,0.7503234152652006,0.5415676959619953,0.6767169179229481,0.6681498909163677,0.643105677677207,0.645945555613598
Fri Jan 15 22:43:38 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,2,3,0.8,1,0.8292682766914368,0.6214405360134003,0.753731343283582,0.513677811550152,0.5580110497237569,0.7191489361702128,0.6412698412698413,0.599290780141844,0.6214405360134003,0.6247454202228072,0.6385799929469849,0.6202803107058427
Fri Jan 15 23:32:48 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,2,3,0.75,1,0.8347680568695068,0.6030150753768844,0.7177700348432056,0.4967741935483871,0.569060773480663,0.6553191489361702,0.6348228043143298,0.565137614678899,0.6030150753768844,0.60739228578112,0.6121899612084167,0.5999802094966145
Sat Jan 16 00:03:06 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.75,1,0.8309455513954163,0.6499162479061976,0.6987012987012987,0.5613207547169812,0.7430939226519337,0.5063829787234042,0.7202141900937081,0.5324384787472035,0.6499162479061976,0.6462991278383838,0.624738450687669,0.6263263344204558
Sat Jan 16 00:33:45 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.7,1,0.8316618800163269,0.6499162479061976,0.6966580976863753,0.5625,0.7486187845303868,0.4978723404255319,0.7217043941411452,0.5282167042889391,0.6499162479061976,0.6455408981356704,0.6232455624779594,0.6249605492150421
Sat Jan 16 01:07:08 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.7,1,0.8388252258300781,0.6716917922948074,0.7161458333333334,0.5915492957746479,0.7596685082872928,0.5361702127659574,0.7372654155495979,0.5625,0.6716917922948074,0.668471659009974,0.6479193605266251,0.649882707774799
Sat Jan 16 01:45:59 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.7,1,0.8338108658790588,0.661641541038526,0.684331797235023,0.6012269938650306,0.8204419889502762,0.41702127659574467,0.7462311557788945,0.4924623115577889,0.661641541038526,0.6463388971658964,0.6187316327730105,0.6193467336683417
